"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"25007","Alturas Indian Rancheria OES","901 County RD 56","PO Box 910","Alturas","CA","96101-0910",,,"PO Box 910","Alturas","CA","96101-0910","530-640-0598","530-233-3170","Modoc","Volunteer","Tribal government (includes Native American and Alaska Native tribal fire departments)",,"1","0","0","10","0","1",
"25015","Alturas Rural Fire Protection District","310 N Rine ST",,"Alturas","CA","96101-3974","310 N Rine ST",,,"Alturas","CA","96101-3974","530-233-3018","530-233-3018","Modoc","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","20","0","0","0","No"
"03006","Amador Fire Protection District","810 Court ST",,"Jackson","CA","95642-2132","810 Court ST",,,"Jackson","CA","95642-2132","209-223-6391","209-223-6646","Amador","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://amadorfire.org/","8","33","17","0","4","0","No"
"28020","American Canyon Fire Protection District","911 Donaldson Way E",,"American Canyon","CA","94503-3191","911 Donaldson Way E",,,"American Canyon","CA","94503-3191","707-551-0650","707-642-0201","Napa","Mostly career","Other","http://www.amcanfire.com/","2","20","5","0","2","5","Yes"
"30005","Anaheim Fire & Rescue","201 S Anaheim BLVD STE 300",,"Anaheim","CA","92805-3858","201 S Anaheim BLVD STE 300",,,"Anaheim","CA","92805-3858","714-765-4000","714-765-4008","Orange","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.http://anaheim.net/613/Fire-Rescue","11","209","0","0","44","0","Yes"
"45010","Anderson Fire Protection District","1925  Howard ST",,"Anderson","CA","96007","1925  Howard ST",,,"Anderson","CA","96007-3340","530-378-6699","530-378-6697","Shasta","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.andersonfire.org/","1","6","19","0","1","1","Yes"
"23010","Anderson Valley Fire Department","14281 Highway 128",,"Boonville","CA","95415",,,"PO Box 398","Boonville","CA","95415-0398","707-895-2020","707-895-2239","Mendocino","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.andersonvalleyfire.org/","9","1","35","10","3","0","Yes"
"19565","Angeles National Forest Fire Lookout Association","PO Box 1409",,"Arcadia","CA","91733",,,"PO Box 1409","Arcadia","CA","91077","909-338-3923","818-354-4052","Los Angeles","Volunteer","Other","https://angeleslookouts.org","2","0","90","0","0","0",
"05010","Angels Camp Volunteer Fire Department","1404 Highway 4","PO Box 457","Angels Camp","CA","95222-0457",,,"PO Box 457","Angels Camp","CA","95222-0457","209-736-4081","209-736-9048","Calaveras","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","17","0","0","12",
"26015","Antelope Valley Fire District","51 Shop RD",,"Coleville","CA","96107",,,"PO Box 30","Coleville","CA","96107","530-495-2300",,"Mono","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","15","0","0","6",
"36015","Apple Valley Fire Protection District","22400 Headquarters AVE",,"Apple Valley","CA","92307","22400 Headquarters AVE",,,"Apple Valley","CA","92307-4304","760-247-7618","760-247-3895","San Bernardino","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://avfpd.org/","5","49","0","0","12","0","Yes"
"44005","Aptos/ La Selva Fire Protection District","6934 Soquel DR",,"Aptos","CA","95003-3604","6934 Soquel DR",,,"Aptos","CA","95003-3604","831-685-6690","831-685-6699","Santa Cruz","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.aptosfire.com/","3","35","0","0","4","0","No"
"06005","Arbuckle-College City Fire Protection District","506 Lucas ST",,"Arbuckle","CA","95912",,,"PO Box 727","Arbuckle","CA","95912","530-476-2231","530-476-3031","Colusa","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","3","22","0","1","0",
"19010","Arcadia Fire Department","710 S Santa Anita AVE",,"Arcadia","CA","91006-3535","710 S Santa Anita AVE",,,"Arcadia","CA","91006-3535","626-574-5100","626-446-7410","Los Angeles","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.arcadiaca.gov/protect/fire_department/index.php","3","53","0","0","7","4","Yes"
"12140","Arcata Fire Protection District","2149 Central AVE",,"McKinleyville","CA","95519-3644","2149 Central AVE",,,"McKinleyville","CA","95519-3644","707-825-2000",,"Humboldt","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.arcatafire.org/","3","22","0","0","3","14","No"
"27005","Aromas Tri-County Fire Protection District","2221 Garden RD",,"Monterey","CA","93940-5317","2221 Garden RD",,,"Monterey","CA","93940-5317","831-333-4600","831-333-2660","Monterey","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.atcfire.org/","1","7","0","0","0","0","Yes"
"36025","Arrowbear Lake Fire Department","33045 Hwy 18",,"Arrowbear Lake","CA","92382",,,"PO Box 4045","Arrowbear Lake","CA","92832-4045","909-867-3479","909-867-4736","San Bernardino","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.ablfd.org/","1","2","0","16","0","0","Yes"
"11005","Artois Fire Protection District","740 Main ST",,"Artois","CA","95913",,,"PO Box 158","Artois","CA","95913-0158","530-934-5351",,"Glenn","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","20","0","0","0","Yes"
"40010","Atascadero Fire & Emergency Services","6005 Lewis AVE",,"Atascadero","CA","93422-4224","6005 Lewis AVE",,,"Atascadero","CA","93422-4224","805-461-5070","805-466-5091","San Luis Obispo","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.atascadero.org/","2","21","0","0","1","0","Yes"
"40490","Atascadero State Hospital Fire Department","10333 El Camino Real","PO Box 7006","Atascadero","CA","93423",,,"PO Box 7006","Atascadero","CA","93423-7006","805-468-2501","805-468-2011","San Luis Obispo","Mostly career","State government (includes state forest fire agencies and state institution fire departments)",,"1","7","0","6","0","0","Yes"
"24005","Atwater Fire Department","699 Broadway AVE",,"Atwater","CA","95301-4421","699 Broadway AVE",,,"Atwater","CA","95301-4421","209-357-6355","209-357-6357","Merced","Mostly career","Contract fire department",,"2","11","8","0","0","0","Yes"
"10135","Auberry Volunteer Fire Department","33051 Powerhouse RD",,"Auberry","CA","93602",,,"PO Box 191","Auberry","CA","93602","559-855-2777",,"Fresno","Volunteer","Other",,"1","0","12","0","0","6",
"31010","Auburn Fire Department","1225 Lincoln Way RM 8",,"Auburn","CA","95603-5004","1225 Lincoln Way RM 8",,,"Auburn","CA","95603-5004","530-823-4211","530-823-4512","Placer","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.auburn.ca.gov/","3","22","6","0","0","1","Yes"
"19015","Avalon Fire Department","420 Avalon Canyon RD",,"Avalon","CA","90704",,,"PO Box 707","Avalon","CA","90704-0707","310-510-0203","310-510-0104","Los Angeles","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.cityofavalon.com/content/3182/3207/default.aspx","1","10","30","30","0","0","Yes"
"16002","Avenal State Prison Fire Department","1 Kings Way",,"Avenal","CA","93204","1 Kings Way",,,"Avenal","CA","93204-9708","559-386-6089","559-386-7457","Kings","Career","State government (includes state forest fire agencies and state institution fire departments)",,"1","15","0","0","0","0","Yes"
"40015","Avila Beach Fire Department","100 San Luis  ST","PO Box 309","Avila Beach","CA","93424",,,"PO Box 309","Avila Beach","CA","93424-0309","805-595-2664",,"San Luis Obispo","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","0","0","0","0",
"15005","Bakersfield Fire Department","2101 H ST",,"Bakersfield","CA","93301-3921","2101 H ST",,,"Bakersfield","CA","93301-3921","661-326-3911","661-852-2170","Kern","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.bakersfieldfire.us/","14","186","30","0","25","0","Yes"
"10055","Bald Mountain Volunteer Fire Protection District","41967 Auberry RD",,"Auberry","CA","93602-9783","41967 Auberry RD",,,"Auberry","CA","93602-9783","559-855-8443","559-855-8443","Fresno","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","9","0","0","0","Yes"
"33005","Banning Fire Service","172 N Murray ST",,"Banning","CA","92220","172 N Murray ST",,"PO Box 998","Banning","CA","92220","951-922-3230",,"Riverside","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","10","0","20","0","1",
"37007","Barona Fire Department","1112 Barona RD",,"Lakeside","CA","92040-1540","1112 Barona RD",,,"Lakeside","CA","92040-1540","619-390-2794","619-390-0730","San Diego","Career","Tribal government (includes Native American and Alaska Native tribal fire departments)","https://www.baronafire.com/","1","23","0","0","1","0","Yes"
"36035","Barstow Fire Protection District","861 Barstow RD",,"Barstow","CA","92311","861 Barstow RD",,,"Barstow","CA","92311","760-256-2254","760-256-5314","San Bernardino","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","17","6","25","2","0",
"01795","Bayer Fire Department","800 Dwight Way",,"Berkeley","CA","94701",,,"PO Box 1986","Berkeley","CA","94701-1986","510-705-5604",,"Alameda","Volunteer","Private or industrial fire brigade",,"1","0","21","0","0","0","No"
"06040","Bear Valley - Indian Valley Fire Department","5122 E Paris RD",,"Stonyford","CA","95979",,,"PO Box 111","Stonyford","CA","95979","530-963-3123","530-963-3213","Colusa","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","19","0","0","3",
"02008","Bear Valley Fire Department","88 Bear Valley RD",,"Bear Valley","CA","95223",,,"PO Box 5430","Bear Valley","CA","95223-5430","209-753-2321","209-753-6517","Alpine","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","3","15","0","1","2","Yes"
"33010","Beaumont Fire Service","PO Box 998",,"Banning","CA","92220","628 Maple ST",,"PO Box 998","Beaumont","CA","92223","951-845-3718",,"Riverside","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","9","0","20","0","0",
"32005","Beckwourth Volunteer Fire Department","180 Main ST",,"Beckwourth","CA","96129-1029","180 Main ST",,,"Beckwourth","CA","96129-1029","530-832-1008",,"Plumas","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.beckwourthfire.com/","1","14","0","0","0","0",
"12010","Beginnings Volunteer Fire Department","4700 Briceland Thorn RD","PO Box 1090","Redway","CA","95560","4700 Briceland Thorn RD",,"PO Box 1090","Redway","CA","95560","000-000-0000",,"Humboldt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","12","0","0","2",
,"Bell Canyon Volunteer Wildland Fire Department","29 Baymare RD",,"Bell Canyon","CA","91307-1101",,,"PO Box 29 Baymare RD","Bell Canyon","CA","91307-1101","818-699-1191",,"Ventura","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.bcvwfd.org","1","0","22","0","0","2","No"
"44015","Ben Lomond Fire Protection District","9430 Highway 9",,"Ben Lomond","CA","95005",,,"PO Box 27","Ben Lomond","CA","95005-0027","831-336-5495","831-336-0300","Santa Cruz","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://benlomondfd.com/","1","1","30","30","1","0","Yes"
"48005","Benicia Fire Department","150 Military West",,"Benicia","CA","94510","250 E L ST",,,"Benicia","CA","94510-3239","707-746-4275","707-745-4425","Solano","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.benicia.ca.us/","2","35","12","0","3","1","Yes"
"49160","Bennett Valley Fire Protection District","6161 Bennett Valley RD",,"Santa Rosa","CA","95404-9583","6161 Bennett Valley RD",,,"Santa Rosa","CA","95404","707-578-8471","707-578-7784","Sonoma","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","10","19","0","2","0",
"01015","Berkeley Fire Department","2100 Martin Luther King Way","2ND FL","Berkeley","CA","94704","2100 Martin Luther King Way","2ND FL",,"Berkeley","CA","94704-1109","510-981-3473","510-981-5579","Alameda","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofberkeley.info/fire/","7","127","0","0","13","0","Yes"
"04045","Berry Creek Rancheria Volunteer Fire Department","5 Tyme WAY",,"Oroville","CA","95966","5 Tyme WAY",,,"Oroville","CA","95966","530-534-3859","530-534-1151","Butte","Volunteer","Tribal government (includes Native American and Alaska Native tribal fire departments)",,"1","0","20","0","0","2",
"19025","Beverly Hills Fire Department","445 N Rexford DR",,"Beverly Hills","CA","90210-4857","445 N Rexford DR",,,"Beverly Hills","CA","90210-4857","310-281-2700","310-278-2449","Los Angeles","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.beverlyhills.org/departments/firedepartment","3","87","0","0","16","0","No"
"36040","Big Bear City Fire Department","301 W Big Bear BLVD",,"Big Bear City","CA","92314",,,"PO Box 3028","Big Bear City","CA","92314-3028","909-585-2362","909-585-0348","San Bernardino","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.bigbearcityfire.org/","2","25","0","20","4","0","Yes"
"36045","Big Bear Fire Authority","41090 Big Bear BLVD","PO Box 2830","Big Bear Lake","CA","92315",,,"PO Box 2830","Big Bear Lake","CA","92315-2830","909-866-7566","909-866-8288","San Bernardino","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.bigbearfire.org/","5","43","0","13","12","0","Yes"
"45970","Big Bend Volunteer Fire Company 70","25035 Big Bend RD",,"Big Bend","CA","96011-0146",,,"PO Box 146","Big Bend","CA","96011-0146","530-337-6555",,"Shasta","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","7","0","0","1",
"10110","Big Creek Volunteer Fire Department","551121 Point RD",,"Big Creek","CA","93605",,,"PO Box 159","Big Creek","CA","93605-0159","000-000-0000",,"Fresno","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","6","0","0","0",
"14005","Big Pine Fire Department","181 N Main ST",,"Big Pine","CA","93513",,,"PO Box 382","Big Pine","CA","93513-0382","760-938-2600","760-938-2444","Inyo","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","35","0","0","1","Yes"
"27900","Big Sur Volunteer Fire Brigade","HWY 1",,"Big Sur","CA","93920","HWY 1",,"PO Box 520","Big Sur","CA","93920","831-667-2113","831-667-0299","Monterey","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","0","48","0","0","3",
"18010","Big Valley Fire Protection District/ Bieber Fire Department","Market and Park ST",,"Bieber","CA","96009",,,"PO Box 81","Bieber","CA","96009-0081","530-294-5720",,"Lassen","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","10","0","1","2","No"
"14015","Bishop Fire Department","209 W Line ST",,"Bishop","CA","93514",,,"PO Box 1236","Bishop","CA","93515-1236","760-873-5485","760-872-9321","Inyo","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","1","35","0","1","0","No"
"12025","Blue Lake Volunteer Fire Department","111 1st AVE","PO Box 245","Blue Lake","CA","95525",,,"PO Box 245","Blue Lake","CA","95525-0245","707-668-5765","707-668-5844","Humboldt","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","1","17","0","1","0","Yes"
"49010","Bodega Bay Fire Protection District","510 Highway 1",,"Bodega Bay","CA","94923",,,"PO Box 6","Bodega Bay","CA","94923-0006","707-875-3700","707-875-2660","Sonoma","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.bbfpd.org/","1","13","5","0","1","6","No"
"49005","Bodega Volunteer Fire Department","17184 Bodega HWY",,"Bodega","CA","94922",,,"PO Box 28","Bodega","CA","94922-0028","707-484-2413","707-876-9438","Sonoma","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","15","0","0","10",
"19605","Boeing Fire Department, Long Beach Div","4000 N Lakewood BLVD",,"Long Beach","CA","90808-1700","4000 N Lakewood BLVD",,,"Long Beach","CA","90808-1700","562-593-6176","562-593-5155","Los Angeles","Career","Private or industrial fire brigade",,"1","27","0","0","5","0","No"
"21010","Bolinas Fire Protection District","100 Mesa RD","PO Box 126","Bolinas","CA","94924",,,"PO Box 126","Bolinas","CA","94924-0126","415-868-1566","415-868-2009","Marin","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.bolinasfire.org","1","2","20","2","1","5","Yes"
"37010","Bonita Sunnyside Fire Protection District","4900 Bonita RD",,"Bonita","CA","91902-1725","4900 Bonita RD",,,"Bonita","CA","91902-1725","619-479-2346","619-479-2393","San Diego","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.bonitafd.org/","1","12","0","0","2","0","Yes"
"37015","Borrego Springs Fire Protection District","2324 Stirrup RD",,"Borrego Springs","CA","92004",,,"PO Box 9","Borrego Springs","CA","92004-0009","760-767-5436","760-767-5193","San Diego","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.borrego-fire.org/","1","13","0","0","1","0","No"
"44020","Boulder Creek Fire Protection District","13230 Central AVE",,"Boulder Creek","CA","95006-9125","13230 Central AVE",,,"Boulder Creek","CA","95006-9125","831-338-7222","831-338-7226","Santa Cruz","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://bcfd.com/","2","1","0","40","1","0","Yes"
"44060","Branciforte Fire Protection District","2711 Branciforte DR",,"Santa Cruz","CA","95065-9731","2711 Branciforte DR",,,"Santa Cruz","CA","95065-9731","831-423-8856","831-423-8859","Santa Cruz","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","4","0","18","1","1",
"30010","Brea Fire Department","1 Civic Center CIR","","Brea","CA","92821-5732","1 Civic Center CIR","","PO Box ","Brea","CA","92821-5732","714-990-7655","714-671-3691","Orange","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://ci.brea.ca.us","4","46","0","24","6","0",
"26010","Bridgeport Fire Protection District","309 Main ST",,"Bridgeport","CA","93517",,,"PO Box 375","Bridgeport","CA","93517-0375","760-203-5929",,"Mono","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://bfpd.specialdistrict.org/","2","0","18","0","1","0","Yes"
"12195","Bridgeville Volunteer Fire Department","38717 Kneeland RD",,"Bridgeville","CA","95526",,,"PO Box 51","Bridgeville","CA","95526-0051","707-777-3424",,"Humboldt","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","9","0","0","1","Yes"
"23011","Brooktrails Township Fire Department","24860 Birch ST",,"Willits","CA","95490-9475","24860 Birch ST",,,"Willits","CA","95490-9475","707-459-4441","707-459-1517","Mendocino","Mostly volunteer","Other","https://www.btcsd.org/","2","2","0","20","0","2","Yes"
"32080","Bucks Lake Fire Department","16891 Bucks Lake RD",,"Quincy","CA","95971",,,"PO Box 119","Meadow Valley","CA","95956-0119","530-283-2947","530-283-2947","Plumas","Volunteer","Contract fire department","https://buckslakefire.com/","1","0","10","0","0","2",
"50045","Burbank Paradise Fire District","1313 Beverly DR",,"Modesto","CA","95351-2313","1313 Beverly DR",,,"Modesto","CA","95351-2313","209-523-1129","209-523-0283","Stanislaus","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://bpfire.com/","1","3","40","0","4","5","Yes"
"45020","Burney Fire Protection District","37072 Main ST",,"Burney","CA","96013","37072 Main ST",,,"Burney","CA","96013-4126","530-335-2212","530-335-2235","Shasta","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.burneyfire.org/","2","2","0","18","8","4","Yes"
"04035","Butte County Fire Department","176 Nelson AVE",,"Oroville","CA","95965-3425","176 Nelson AVE",,,"Oroville","CA","95965-3425","530-538-7111","530-538-7401","Butte","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.buttecounty.net/fire/Home.aspx","38","259","0","151","16","5","Yes"
,"Butte Creek Canyon Volunteer Fire Company 26","1726 Honeyrun RD","PO Box 3171","Chico","CA","95928","1726 Honeyrun RD",,"PO Box 3171","Chico","CA","95928","530-898-1726",,"Butte","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","8","0","0","0",
"47045","Butte Valley Fire Protection District","12320 Old State HWY","PO Box 103","Macdoel","CA","96058",,,"PO Box 103","Macdoel","CA","96058-0103","530-398-4332",,"Siskiyou","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.buttevalleyfire.org/","1","1","12","0","0","7","Yes"
"07115","C & H Sugar Company Fire Department","830 Loring AVE",,"Crockett","CA","94525","830 Loring AVE",,,"Crockett","CA","94525","510-787-4417","510-787-2158","Contra Costa","Mostly volunteer","Private or industrial fire brigade",,"1","1","0","57","0","0",
"32008","C Road Volunteer Fire Department","C road & Road 9",,"Blairsden","CA","96103-0344",,,"PO Box 33","Portola","CA","96122-0033","530-836-0288",,"Plumas","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","8","0","0","0",
"00555","CA Department of Forestry and Fire Protection- HQ","1416 Ninth ST",,"Sacramento","CA","95814",,,"PO Box 2460","Sacramento","CA","94244-2460","916-653-7772","916-653-8961","Sacramento","Career","State government (includes state forest fire agencies and state institution fire departments)","https://www.fire.ca.gov","268","3800","0","0","1400","600",
,"CA Office of Emergency Services North County Rescue","127 1/2 W 66TH ST",,"Los Angeles","CA","90003-1810","127 1/2 W 66TH ST",,,"Los Angeles","CA","90003-1810","213-392-1136",,"Los Angeles","Mostly career","Private or industrial fire brigade",,"2","43","5","0","3","5","No"
"33021","Cabazon Tribal Fire Department","84245 Indio Springs  PKWY",,"Indio","CA","92203","84245 Indio Springs  PKWY",,,"Indio","CA","92203","760-342-1251","760-342-1406","Riverside","Career","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","8","0","0","0","0",
"27905","Cachagua Fire Protection District","37200 Nason RD","PO Box 2090","Carmel Valley","CA","93924-2090",,,"PO Box 2090","Carmel Valley","CA","93924-2090","831-659-7700","831-659-7700","Monterey","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cachaguafire.com","2","0","4","12","0","4","Yes"
"33555","Cal Fire - Riverside County Fire Department","210 W San Jacinto AVE",,"Perris","CA","92570","210 W San Jacinto AVE",,,"Perris","CA","92570","951-940-6900","951-940-6373","Riverside","Mostly career","State government (includes state forest fire agencies and state institution fire departments)","https://www.rvcfire.org/","91","1200","300","0","250","250",
"40035","CAL FIRE/San Luis Obispo County Fire Station #15- South Bay","2315 Bayview Heights DR",,"Los Osos","CA","93402-3915","2315 Bayview Heights DR",,,"Los Osos","CA","93402-3915","805-528-1053","805-528-3164","San Luis Obispo","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://calfireslo.org/","1","8","0","25","1","15","Yes"
"05066","Calaveras Consolidated Fire Protection District","6501 Jenny Lind RD",,"Valley Springs","CA","95252","6501 Jenny Lind RD",,,"Valley Springs","CA","95252-9075","209-786-1199",,"Calaveras","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.calcofire.org","2","6","15","17","1","10","Yes"
"05065","Calaveras County Fire & Emergency Services","891 Mountain Ranch RD",,"San Andreas","CA","95249","891 Mountain Ranch RD",,,"San Andreas","CA","95249","209-754-6639","209-754-6641","Calaveras","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://co.calaveras.ca.us.gov","1","3","0","0","1","0",
"13010","Calexico Fire Department","2237 A Tirado AVE",,"Calexico","CA","92231-3953","2237 A Tirado AVE",,,"Calexico","CA","92231-3953","760-791-7755",,"Imperial","Career","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","24","0","0","1","0","Yes"
"15065","California City Fire Department","20890 Hacienda BLVD",,"California City","CA","93505-2800","20890 Hacienda BLVD",,,"California City","CA","93505-2800","760-373-4841","760-373-1305","Kern","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.calcityfire.com/","2","13","0","0","3","7","Yes"
"18410","California Correctional Center Fire Department","711-045 Center RD",,"Susanville","CA","96130",,,"PO Box 790","Susanville","CA","96127-0790","530-257-2181","530-252-3044","Lassen","Career","State government (includes state forest fire agencies and state institution fire departments)",,"1","22","0","0","0","0",
